reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer,matchRound,AwayTeamId
1419900359Goal798029undefinedfalse,59,Goal,59,,14199003,"{'id': 798029, 'name': 'Ladislav Krejcí', 'profileUrl': '/players/798029/ladislav-krejci'}",0,0,/players/798029/ladislav-krejci,False,False,,Header,header,,,False,Ladislav Krejcí,Ladislav,Krejcí,Ladislav Krejcí,798029,"[0, 1]",,"{'id': 2944348523, 'eventType': 'Goal', 'teamId': 8496, 'playerId': 798029, 'playerName': 'Ladislav Krejcí', 'x': 100.25862069, 'y': 31.1025, 'min': 59, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.0175, 'goalCrossedZ': 1.2585263096000001, 'expectedGoals': 0.21451593935489655, 'expectedGoalsOnTarget': 0.5836638808250427, 'shotType': 'Header', 'situation': 'ThrowInSetPiece', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.5244708994709, 'y': 0.3329434681481482, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 167247, 'firstName': 'Ladislav', 'lastName': 'Krejcí', 'fullName': 'Ladislav Krejcí', 'teamColor': '#D9273C'}",assist by Vladimír Coufal,/players/307317/vladimir-coufal,307317,assist_by,Vladimír Coufal,Krejcí,1,8496
1419956021Goal1174844undefinedfalse,21,Goal,21,,14199560,"{'id': 1174844, 'name': 'Jovo Lukic', 'profileUrl': '/players/1174844/jovo-lukic'}",0,0,/players/1174844/jovo-lukic,False,False,,Header,header,,,False,Jovo Lukic,Jovo,Lukic,Jovo Lukic,1174844,"[0, 1]",,"{'id': 2944379551, 'eventType': 'Goal', 'teamId': 10106, 'playerId': 1174844, 'playerName': 'Jovo Lukic', 'x': 103.2931034484, 'y': 33.084999999999994, 'min': 21, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.533750000000005, 'goalCrossedZ': 0.8539999958000001, 'expectedGoals': 0.6399672031402588, 'expectedGoalsOnTarget': 0.9868106842041016, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.8587962962962951, 'y': 0.22592592481481483, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 464919, 'firstName': 'Jovo', 'lastName': 'Lukic', 'fullName': 'Jovo Lukic', 'teamColor': '#027EB0'}",assist by Sead Kolasinac,/players/304345/sead-kolasinac,304345,assist_by,Sead Kolasinac,Lukic,1,10106
1419999673Goal1059490undefinedfalse,73,Goal,73,,14199996,"{'id': 1059490, 'name': 'Mauricio', 'profileUrl': '/players/1059490/mauricio'}",3,0,/players/1059490/mauricio,False,False,,,,,,False,Mauricio,,Mauricio,Mauricio,1059490,"[3, 1]",,"{'id': 2944406017, 'eventType': 'Goal', 'teamId': 6724, 'playerId': 1059490, 'playerName': 'Mauricio', 'x': 93.6, 'y': 39.713095239, 'min': 73, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.3225, 'goalCrossedZ': 0.1219999994, 'expectedGoals': 0.2171722948551178, 'expectedGoalsOnTarget': 0.4168328642845154, 'shotType': 'LeftFoot', 'situation': 'SetPiece', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4437830687830693, 'y': 0.032275132116402115, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1026065, 'firstName': '', 'lastName': 'Mauricio', 'fullName': 'Mauricio', 'teamColor': '#EE3F2D'}",assist by Julio Enciso,/players/1073742/julio-enciso,1073742,assist_by,Julio Enciso,Mauricio,1,6724
1420190917Goal527103undefinedfalse,17,Goal,17,,14201909,"{'id': 527103, 'name': 'Breel Embolo', 'profileUrl': '/players/527103/breel-embolo'}",0,0,/players/527103/breel-embolo,False,False,,Penalty,penalty,Pen,penalties_short,False,Breel Embolo,Breel,Embolo,Breel Embolo,527103,"[0, 1]",,"{'id': 2944496733, 'eventType': 'Goal', 'teamId': 6717, 'playerId': 527103, 'playerName': 'Breel Embolo', 'x': 94, 'y': 34, 'min': 17, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 37.2025, 'goalCrossedZ': 0.40452631380000004, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.8641660213470459, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.15277777777777768, 'y': 0.10701754333333334, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1213141, 'firstName': 'Breel', 'lastName': 'Embolo', 'fullName': 'Breel Embolo', 'teamColor': '#DD4145'}",,,Embolo,1,6717
1420225821Goal1180288undefinedfalse,21,Goal,21,,14202258,"{'id': 1180288, 'name': 'Ismael Saibari', 'profileUrl': '/players/1180288/ismael-saibari'}",0,0,/players/1180288/ismael-saibari,False,False,,,,,,False,Ismael Saibari,Ismael,Saibari,Ismael Saibari,1180288,"[0, 1]",,"{'id': 2944513759, 'eventType': 'Goal', 'teamId': 6262, 'playerId': 1180288, 'playerName': 'Ismael Saibari', 'x': 81.80922330160001, 'y': 35.29625000000001, 'min': 21, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.07625, 'goalCrossedZ': 0.7705263120000001, 'expectedGoals': 0.6362550258636475, 'expectedGoalsOnTarget': 0.2689960300922394, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.9798280423280419, 'y': 0.2038429396825397, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': False, 'keeperId': 319784, 'firstName': 'Ismael', 'lastName': 'Saibari', 'fullName': 'Ismael Saibari', 'teamColor': '#E6251E'}",assist by Brahim Díaz,/players/750027/brahim-diaz,750027,assist_by,Brahim Díaz,Saibari,1,6262
1420255629Goal356406undefinedfalse,29,Goal,29,,14202556,"{'id': 356406, 'name': 'John McGinn', 'profileUrl': '/players/356406/john-mcginn'}",0,0,/players/356406/john-mcginn,False,False,,,,,,False,John McGinn,John,McGinn,John McGinn,356406,"[0, 1]",,"{'id': 2944569271, 'eventType': 'Goal', 'teamId': 8498, 'playerId': 356406, 'playerName': 'John McGinn', 'x': 91.3, 'y': 32.70374999999999, 'min': 28, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.5425, 'goalCrossedZ': 1.5859999922, 'expectedGoals': 0.13991357386112213, 'expectedGoalsOnTarget': 0.3370787799358368, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.121031746031747, 'y': 0.4195767175132275, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 103468, 'firstName': 'John', 'lastName': 'McGinn', 'fullName': 'John McGinn', 'teamColor': '#143459'}",,,McGinn,1,8498
1420433721Goal1243246undefinedfalse,21,Goal,21,,14204337,"{'id': 1243246, 'name': 'Livano Comenencia', 'profileUrl': '/players/1243246/livano-comenencia'}",1,0,/players/1243246/livano-comenencia,False,False,,,,,,False,Livano Comenencia,Livano,Comenencia,Livano Comenencia,1243246,"[1, 1]",,"{'id': 2944648421, 'eventType': 'Goal', 'teamId': 287981, 'playerId': 1243246, 'playerName': 'Livano Comenencia', 'x': 90.1, 'y': 26.169687500000002, 'min': 21, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.97375, 'goalCrossedZ': 1.1365263102, 'expectedGoals': 0.08398522436618805, 'expectedGoalsOnTarget': 0.29564955830574036, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.21329365079365015, 'y': 0.30066833603174603, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'Livano', 'lastName': 'Comenencia', 'fullName': 'Livano Comenencia', 'teamColor': '#2162BC'}",,,Comenencia,1,287981
1420500157Goal887704undefinedfalse,57,Goal,57,,14205001,"{'id': 887704, 'name': 'Keito Nakamura', 'profileUrl': '/players/887704/keito-nakamura'}",1,0,/players/887704/keito-nakamura,False,False,,,,,,False,Keito Nakamura,Keito,Nakamura,Keito Nakamura,887704,"[1, 1]",,"{'id': 2944690069, 'eventType': 'Goal', 'teamId': 6715, 'playerId': 887704, 'playerName': 'Keito Nakamura', 'x': 86.5676470584, 'y': 42.350624999999994, 'min': 57, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 37.431250000000006, 'goalCrossedZ': 0.3274736826, 'expectedGoals': 0.024624332785606384, 'expectedGoalsOnTarget': 0.3882119059562683, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.09226190476190332, 'y': 0.08663324936507935, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': False, 'keeperId': 1131987, 'firstName': 'Keito', 'lastName': 'Nakamura', 'fullName': 'Keito Nakamura', 'teamColor': '#435D99'}",assist by Takefusa Kubo,/players/848289/takefusa-kubo,848289,assist_by,Takefusa Kubo,Nakamura,1,6715
1420506188Goal621515undefinedfalse,88,Goal,88,,14205061,"{'id': 621515, 'name': 'Daichi Kamada', 'profileUrl': '/players/621515/daichi-kamada'}",2,1,/players/621515/daichi-kamada,False,False,,Header,header,,,False,Daichi Kamada,Daichi,Kamada,Daichi Kamada,621515,"[2, 2]",,"{'id': 2944695099, 'eventType': 'Goal', 'teamId': 6715, 'playerId': 621515, 'playerName': 'Daichi Kamada', 'x': 96.7017543851, 'y': 32.17, 'min': 89, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.1025, 'goalCrossedZ': 1.7914736754, 'expectedGoals': 0.14040666818618774, 'expectedGoalsOnTarget': 0.6563496589660645, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.7665343915343916, 'y': 0.47393483476190473, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1131987, 'firstName': 'Daichi', 'lastName': 'Kamada', 'fullName': 'Daichi Kamada', 'teamColor': '#435D99'}",assist by Koki Ogawa,/players/727837/koki-ogawa,727837,assist_by,Koki Ogawa,Kamada,1,6715
1420529043Goal1160097undefinedfalse,43,Goal,43,,14205290,"{'id': 1160097, 'name': 'Omar Rekik', 'profileUrl': '/players/1160097/omar-rekik'}",2,0,/players/1160097/omar-rekik,False,False,,Header,header,,,False,Omar Rekik,Omar,Rekik,Omar Rekik,1160097,"[2, 1]",,"{'id': 2944723193, 'eventType': 'Goal', 'teamId': 6719, 'playerId': 1160097, 'playerName': 'Omar Rekik', 'x': 97.1842105256, 'y': 26.774047619, 'min': 43, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.66875, 'goalCrossedZ': 0.2439999988, 'expectedGoals': 0.03183949738740921, 'expectedGoalsOnTarget': 0.3290552794933319, 'shotType': 'Header', 'situation': 'ThrowInSetPiece', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.29398148148148073, 'y': 0.06455026423280423, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 73462, 'firstName': 'Omar', 'lastName': 'Rekik', 'fullName': 'Omar Rekik', 'teamColor': '#D7393D'}",assist by Hannibal Mejbri,/players/1113785/hannibal-mejbri,1113785,assist_by,Hannibal Mejbri,Rekik,1,6719
